id,Masa,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
2012-09-21-E16,75.3,29.0,59.0,14.6,8.0,8.0,34
2012-09-21-E17,41.0,NA,NA,NA,NA,NA,29
2012-09-21-F06,66.7,NA,NA,NA,NA,NA,29
2012-09-21-FA,52.0,NA,NA,NA,NA,NA,25
2012-09-22-A03,68.5,NA,NA,NA,NA,NA,35
2012-09-22-B06,71.9,NA,NA,NA,NA,NA,29
2012-09-22-B12,74.3,NA,NA,NA,NA,NA,32
2012-09-22-B13,96.5,30.5,53.0,14.3,NA,NA,31
2012-09-22-D05,61.0,NA,NA,NA,NA,NA,33
2012-09-22-D06,82.5,NA,NA,NA,NA,NA,35
2012-09-22-E14,73.3,29.5,59.0,14.8,8.0,8.0,34
2012-09-22-E16,70.1,NA,NA,NA,NA,NA,35
2012-09-22-E17,57.3,NA,NA,NA,NA,NA,30
2012-09-22-F06,69.5,NA,NA,NA,NA,NA,30
2012-09-22-FA,59.2,25.9,32.0,13.0,NA,NA,26
2012-09-23-A03,63.5,NA,NA,NA,NA,NA,36
2012-09-23-B06,79.2,29.5,49.0,13.0,NA,NA,30
2012-09-23-B12,73.4,29.0,58.0,13.9,8.0,8.0,33
2012-09-23-B13,97.7,31.1,58.0,14.6,10.0,10.0,32
2012-09-23-D05,72.8,27.0,36.0,14.0,NA,NA,34
2012-09-23-D06,75.8,NA,NA,NA,NA,NA,36
2012-09-23-E14,67.3,NA,NA,NA,NA,NA,35
2012-09-23-E16,71.6,NA,NA,NA,NA,NA,36
2012-09-23-E17,61.6,27.8,37.0,13.4,NA,NA,31
2012-09-23-F06,68.6,28.0,47.0,13.2,NA,NA,31
2012-09-23-FA,53.9,NA,NA,NA,NA,NA,27
2012-09-24-A03,66.6,30.6,65.0,14.1,15.0,15.0,37
2012-09-24-B06,NA,29.2,53.0,13.5,5.0,5.0,31
2012-09-24-B12,71.6,29.0,62.0,13.9,10.0,13.0,34
2012-09-24-B13,96.6,NA,NA,NA,NA,NA,33
2012-09-24-D05,75.0,NA,NA,NA,NA,NA,35
2012-09-24-D06,78.8,32.5,66.0,14.0,11.0,16.0,37
2012-09-24-E14,70.4,NA,NA,NA,NA,NA,36
2012-09-24-E16,66.7,29.9,66.0,14.6,11.0,15.0,37
2012-09-24-E17,56.8,NA,NA,NA,NA,NA,32
2012-09-24-F06,63.2,NA,NA,NA,NA,NA,32
2012-09-24-FA,58.0,NA,NA,NA,NA,NA,28
2012-09-25-A03,64.9,NA,NA,NA,NA,NA,38
2012-09-25-B12,65.8,NA,NA,NA,NA,NA,35
2012-09-25-B13,91.2,31.7,65.0,15.0,9.0,9.0,34
2012-09-25-D05,68.4,NA,NA,NA,NA,NA,36
2012-09-25-D06,82.4,NA,NA,NA,NA,NA,38
2012-09-25-E14,81.4,30.7,68.0,15.0,15.0,12.0,37
2012-09-25-E16,69.5,NA,NA,NA,NA,NA,38
2012-09-25-E17,52.5,NA,NA,NA,NA,NA,33
2012-09-25-F06,70.3,NA,NA,NA,NA,NA,33
2012-09-25-FA,67.2,27.3,36.0,13.5,NA,NA,29
2012-09-26-A03,69.1,NA,NA,NA,NA,NA,39
2012-09-26-B06,90.7,NA,NA,NA,NA,NA,33
2012-09-26-B12,70.2,29.5,64.0,13.9,14.0,18.0,36
2012-09-26-B13,91.5,32.0,64.0,14.7,11.0,11.0,35
2012-09-26-D05,71.9,28.5,44.0,13.6,NA,NA,37
2012-09-26-D06,80.5,NA,NA,NA,NA,NA,39
2012-09-26-E14,75.7,NA,NA,NA,NA,NA,38
2012-09-26-E16,77.4,NA,NA,NA,NA,NA,39
2012-09-26-E17,65.4,28.6,46.0,13.7,NA,NA,34
2012-09-26-F06,65.3,29.0,56.0,13.3,NA,NA,34
2012-09-26-FA,64.9,NA,NA,NA,NA,NA,30
2012-09-27-A03,74.1,31.5,69.0,14.1,20.0,20.0,40
2012-09-27-B06,82.4,30.7,62.0,13.9,12.0,12.0,34
2012-09-27-B12,85.7,29.6,66.0,13.8,17.0,20.0,37
2012-09-27-B13,91.9,NA,NA,NA,NA,NA,36
2012-09-27-D05,77.2,NA,NA,NA,NA,NA,38
2012-09-27-D06,84.6,32.8,72.0,14.7,17.0,20.0,40
2012-09-27-E14,88.2,31.3,72.0,15.2,18.0,18.0,39
2012-09-27-E16,77.1,30.5,72.0,14.9,18.0,22.0,40
2012-09-27-E17,60.5,NA,NA,NA,NA,NA,35
2012-09-27-F06,72.6,NA,NA,NA,NA,NA,35
2012-09-27-FA,60.6,NA,NA,NA,NA,NA,31
2012-09-28-A03,74.9,NA,NA,NA,NA,NA,41
2012-09-28-B06,91.5,NA,NA,NA,NA,NA,35
2012-09-28-B12,85.5,NA,NA,NA,NA,NA,38
2012-09-28-B13,90.1,32.5,68.0,14.3,14.0,15.0,37
2012-09-28-D05,81.4,NA,NA,NA,NA,NA,39
2012-09-28-D06,79.6,NA,NA,NA,NA,NA,41
2012-09-28-E14,81.5,31.5,76.0,15.4,21.0,20.0,40
2012-09-28-E16,77.5,NA,NA,NA,NA,NA,41
2012-09-28-E17,56.5,NA,NA,NA,NA,NA,36
2012-09-28-F06,64.6,NA,NA,NA,NA,NA,36
2012-09-28-FA,74.1,29.0,41.0,13.9,NA,NA,32
2012-09-29-A03,69.3,NA,NA,NA,NA,NA,42
2012-09-29-B06,84.3,NA,NA,NA,NA,NA,36
2012-09-29-B12,86.1,30.2,71.0,14.3,20.0,23.0,39
2012-09-29-B13,102.1,32.5,71.0,14.7,15.0,15.0,38
2012-09-29-D05,81.4,29.7,53.0,14.0,10.0,10.0,40
2012-09-29-D06,74.9,NA,NA,NA,NA,NA,42
2012-09-29-E14,74.9,NA,NA,NA,NA,NA,41
2012-09-29-E16,71.3,NA,NA,NA,NA,NA,42
2012-09-29-E17,60.7,29.6,55.0,14.5,NA,NA,37
2012-09-29-F06,60.2,29.6,61.0,13.9,10.0,13.0,37
2012-09-29-FA,68.1,NA,NA,NA,NA,NA,33
2012-09-30-A03,64.5,31.8,76.0,14.2,23.0,25.0,43
2012-09-30-B06,88.2,31.5,71.0,14.0,17.0,17.0,37
2012-09-30-B12,79.8,30.3,73.0,14.1,21.0,25.0,40
2012-09-30-B13,99.0,NA,NA,NA,NA,NA,39
2012-09-30-D05,81.7,NA,NA,NA,NA,NA,41
2012-09-30-D06,68.6,32.9,77.0,15.0,25.0,17.0,43
2012-09-30-E14,81.8,NA,NA,NA,NA,NA,42
2012-09-30-E16,67.1,30.5,78.0,14.7,23.0,26.0,43
2012-09-30-E17,57.5,NA,NA,NA,NA,NA,38
2012-09-30-F06,55.2,NA,NA,NA,NA,NA,38
2012-09-30-FA,69.2,NA,NA,NA,NA,NA,34
2012-10-01-A03,68.0,NA,NA,NA,NA,NA,44
2012-10-01-B06,90.2,NA,NA,NA,NA,NA,38
2012-10-01-B12,81.9,NA,NA,NA,NA,NA,41
2012-10-01-B13,92.0,32.7,72.0,14.6,21.0,22.0,40
2012-10-01-D05,86.5,NA,NA,NA,NA,NA,42
2012-10-01-D06,68.5,NA,NA,NA,NA,NA,44
2012-10-01-E14,76.5,31.5,80.0,15.9,25.0,25.0,43
2012-10-01-E16,72.4,NA,NA,NA,NA,NA,44
2012-10-01-E17,63.0,NA,NA,NA,NA,NA,39
2012-10-01-F06,53.8,NA,NA,NA,NA,NA,39
2012-10-01-FA,64.9,29.2,50.0,14.1,10.0,10.0,35
2012-10-02-A03,70.5,NA,NA,NA,NA,NA,45
2012-10-02-B06,83.0,NA,NA,NA,NA,NA,39
2012-10-02-B12,83.1,30.2,75.0,14.4,22.0,25.0,42
2012-10-02-B13,91.2,33.0,76.0,15.0,20.0,22.0,41
2012-10-02-D05,80.6,30.8,63.0,14.5,14.0,17.0,43
2012-10-02-D06,74.7,NA,NA,NA,NA,NA,45
2012-10-02-E14,72.1,NA,NA,NA,NA,NA,44
2012-10-02-E16,77.5,NA,NA,NA,NA,NA,45
2012-10-02-E17,58.8,NA,NA,NA,NA,NA,40
2012-10-02-F06,59.2,NA,NA,NA,NA,NA,40
2012-10-02-FA,60.5,NA,NA,NA,NA,NA,36
2012-10-03-A03,63.8,32.0,87.0,14.5,27.0,30.0,46
2012-10-03-B06,82.3,31.9,79.0,14.5,16.0,19.0,40
2012-10-03-B12,76.3,30.1,79.0,14.5,26.0,32.0,43
2012-10-03-B13,85.4,NA,NA,NA,NA,NA,42
2012-10-03-D05,79.8,NA,NA,NA,NA,NA,44
2012-10-03-D06,80.1,33.0,85.0,15.0,24.0,26.0,46
2012-10-03-E14,77.1,NA,NA,NA,NA,NA,45
2012-10-03-E16,79.0,30.6,88.0,15.1,28.0,33.0,46
2012-10-03-E17,55.7,NA,NA,NA,NA,NA,41
2012-10-03-F06,56.0,NA,NA,NA,NA,NA,41
2012-10-03-FA,70.7,NA,NA,NA,NA,NA,37
2012-10-04-A03,66.8,NA,NA,NA,NA,NA,47
2012-10-04-B06,89.8,NA,NA,NA,NA,NA,41
2012-10-04-B12,79.8,NA,NA,NA,NA,NA,44
2012-10-04-B13,103.5,33.1,78.0,15.2,24.0,27.0,43
2012-10-04-D05,94.7,NA,NA,NA,NA,NA,45
2012-10-04-D06,75.7,NA,NA,NA,NA,NA,47
2012-10-04-E14,82.9,32.0,90.0,15.6,32.0,32.0,46
2012-10-04-E16,80.6,NA,NA,NA,NA,NA,47
2012-10-04-E17,53.8,NA,NA,NA,NA,NA,42
2012-10-04-F06,58.9,NA,NA,NA,NA,NA,42
2012-10-04-FA,79.4,31.0,58.0,14.5,12.0,12.0,38
2012-10-05-A03,63.2,NA,NA,NA,NA,NA,48
2012-10-05-B06,84.5,NA,NA,NA,NA,NA,42
2012-10-05-B12,81.5,30.5,87.0,14.6,28.0,35.0,45
2012-10-05-B13,99.8,NA,NA,NA,NA,NA,44
2012-10-05-D05,87.4,NA,69.0,14.7,19.0,22.0,46
2012-10-05-D06,80.0,NA,NA,NA,NA,NA,48
2012-10-05-E14,86.4,NA,NA,NA,NA,NA,47
2012-10-05-E16,75.0,NA,NA,NA,NA,NA,48
2012-10-05-E17,64.6,31.5,68.0,14.7,10.0,15.0,43
2012-10-05-F06,63.5,30.0,73.0,14.0,18.0,23.0,43
2012-10-05-FA,72.9,NA,NA,NA,NA,NA,39
2012-10-06-A03,66.3,31.6,95.0,14.6,34.0,37.0,49
2012-10-06-B06,79.5,32.0,81.0,14.7,27.0,28.0,43
2012-10-06-B12,79.4,30.4,90.0,14.8,28.0,36.0,46
2012-10-06-B13,97.7,NA,NA,NA,NA,NA,45
2012-10-06-D05,81.2,NA,NA,NA,NA,NA,47
2012-10-06-D06,85.0,33.0,95.0,15.2,27.0,34.0,49
2012-10-06-E14,89.3,NA,NA,NA,NA,NA,48
2012-10-06-E16,70.0,30.9,98.0,15.2,32.0,39.0,49
2012-10-06-E17,69.9,NA,NA,NA,NA,NA,44
2012-10-06-F06,67.7,NA,NA,NA,NA,NA,44
2012-10-06-FA,68.5,NA,NA,NA,NA,NA,40
2012-10-07-A03,66.9,NA,NA,NA,NA,NA,50
2012-10-07-B06,84.2,NA,NA,NA,NA,NA,44
2012-10-07-B12,78.5,NA,NA,NA,NA,NA,47
2012-10-07-B13,94.2,33.1,88.0,15.2,29.0,35.0,46
2012-10-07-D05,85.9,NA,NA,NA,NA,NA,48
2012-10-07-D06,79.1,NA,NA,NA,NA,NA,50
2012-10-07-E14,82.4,32.0,98.0,15.8,37.0,37.0,49
2012-10-07-E16,72.0,NA,NA,NA,NA,NA,50
2012-10-07-E17,64.0,NA,NA,NA,NA,NA,45
2012-10-07-F06,75.3,NA,NA,NA,NA,NA,45
2012-10-07-FA,80.3,31.8,64.0,14.8,12.0,12.0,41
2012-10-08-A03,62.4,NA,NA,NA,NA,NA,51
2012-10-08-B06,82.1,NA,NA,NA,NA,NA,45
2012-10-08-B12,88.7,30.4,98.0,14.7,34.0,41.0,48
2012-10-08-B13,92.5,33.0,92.0,15.7,31.0,36.0,47
2012-10-08-D05,80.1,31.0,75.0,14.8,23.0,26.0,49
2012-10-08-D06,86.1,NA,NA,NA,NA,NA,51
2012-10-08-E14,87.6,NA,NA,NA,NA,NA,50
2012-10-08-E16,67.2,NA,NA,NA,NA,NA,51
2012-10-08-E17,59.8,31.4,72.0,15.0,18.0,23.0,46
2012-10-08-F06,67.6,30.4,76.0,14.5,24.0,29.0,46
2012-10-08-FA,81.5,NA,NA,NA,NA,NA,42
2012-10-09-A03,67.7,31.9,106.0,14.6,40.0,43.0,52
2012-10-09-B06,83.0,32.1,93.0,14.7,32.0,33.0,46
2012-10-09-B12,83.8,30.3,100.0,14.9,35.0,45.0,49
2012-10-09-B13,95.7,NA,NA,NA,NA,NA,48
2012-10-09-D05,75.7,NA,NA,NA,NA,NA,50
2012-10-09-D06,87.1,33.0,105.0,15.2,34.0,41.0,52
2012-10-09-E14,82.8,NA,NA,NA,NA,NA,51
2012-10-09-E16,68.1,30.9,108.0,15.2,37.0,45.0,52
2012-10-09-E17,71.2,NA,NA,NA,NA,NA,47
2012-10-09-F06,71.5,NA,NA,NA,NA,NA,47
2012-10-09-FA,81.9,NA,NA,NA,NA,NA,43
2012-10-10-A03,69.8,NA,NA,NA,NA,NA,53
2012-10-10-B06,87.3,NA,NA,NA,NA,NA,47
2012-10-10-B12,83.4,NA,NA,NA,NA,NA,50
2012-10-10-B13,90.5,33.1,99.0,15.3,38.0,45.0,49
2012-10-10-D05,80.5,NA,NA,NA,NA,NA,51
2012-10-10-D06,91.7,NA,NA,NA,NA,NA,53
2012-10-10-E14,77.8,NA,NA,NA,NA,NA,52
2012-10-10-E16,75.0,NA,NA,NA,NA,NA,53
2012-10-10-E17,78.1,NA,NA,NA,NA,NA,48
2012-10-10-F06,81.2,NA,NA,NA,NA,NA,48
2012-10-10-FA,82.5,31.8,72.0,15.0,10.0,13.0,44
2012-10-11-A03,75.4,NA,NA,NA,NA,NA,54
2012-10-11-B06,79.6,NA,NA,NA,NA,NA,48
2012-10-11-B12,78.2,30.4,107.0,14.5,40.0,47.0,51
2012-10-11-B13,97.1,33.0,105.0,15.3,38.0,43.0,50
2012-10-11-D05,75.6,32.1,85.0,14.6,29.0,34.0,52
2012-10-11-D06,94.9,NA,NA,NA,NA,NA,54
2012-10-11-E14,80.3,NA,NA,NA,NA,NA,53
2012-10-11-E16,67.3,NA,NA,NA,NA,NA,54
2012-10-11-E17,71.1,31.9,78.0,14.9,21.0,27.0,49
2012-10-11-F06,84.3,31.5,87.0,14.3,29.0,35.0,49
2012-10-11-FA,84.2,NA,NA,NA,NA,NA,45
2012-10-12-A03,69.5,31.9,116.0,14.6,45.0,48.0,55
2012-10-12-B06,87.2,32.0,105.0,14.9,36.0,37.0,49
2012-10-12-B12,74.4,30.5,112.0,14.5,40.0,48.0,52
2012-10-12-B13,98.3,NA,NA,NA,NA,NA,51
2012-10-12-D05,83.7,NA,NA,NA,NA,NA,53
2012-10-12-D06,95.7,33.0,115.0,15.0,37.0,44.0,55
2012-10-12-E14,75.7,NA,NA,NA,NA,NA,54
2012-10-12-E16,62.6,30.9,117.0,15.1,41.0,48.0,55
2012-10-12-E17,65.7,NA,NA,NA,NA,NA,50
2012-10-12-F06,84.9,NA,NA,NA,NA,NA,50
2012-10-12-FA,82.0,NA,NA,NA,NA,NA,46
2012-10-13-A03,76.5,NA,NA,NA,NA,NA,56
2012-10-13-B06,90.3,NA,NA,NA,NA,NA,50
2012-10-13-B12,74.2,NA,NA,NA,NA,NA,53
2012-10-13-B13,90.8,33.3,111.0,15.5,39.0,47.0,52
2012-10-13-D05,76.7,NA,NA,NA,NA,NA,54
2012-10-13-D06,90.6,NA,NA,NA,NA,NA,56
2012-10-13-E14,81.4,32.0,119.0,15.7,48.0,52.0,55
2012-10-13-E16,66.6,NA,NA,NA,NA,NA,56
2012-10-13-E17,62.5,NA,NA,NA,NA,NA,51
2012-10-13-F06,85.7,NA,NA,NA,NA,NA,51
2012-10-13-FA,83.5,32.9,76.0,15.1,17.0,20.0,47
2012-10-14-A03,77.8,NA,NA,NA,NA,NA,57
2012-10-14-B06,90.1,NA,NA,NA,NA,NA,51
2012-10-14-B12,74.2,30.5,118.0,14.7,43.0,53.0,54
2012-10-14-B13,105.4,33.3,112.0,15.5,43.0,49.0,53
2012-10-14-D05,81.5,32.1,96.0,14.7,35.0,42.0,55
2012-10-14-D06,90.4,NA,NA,NA,NA,NA,57
2012-10-14-E14,84.9,NA,NA,NA,NA,NA,56
2012-10-14-E16,66.6,NA,NA,NA,NA,NA,57
2012-10-14-E17,72.1,32.9,87.0,14.9,24.0,34.0,52
2012-10-14-F06,89.0,31.5,99.0,14.5,35.0,42.0,52
2012-10-14-FA,88.0,NA,NA,NA,NA,NA,48
2012-10-15-A03,87.9,31.9,127.0,14.6,50.0,56.0,58
2012-10-15-B06,87.9,32.3,112.0,14.7,44.0,47.0,52
2012-10-15-B12,72.9,30.5,121.0,14.7,46.0,55.0,55
2012-10-15-B13,104.4,NA,NA,NA,NA,NA,54
2012-10-15-D05,89.3,NA,NA,NA,NA,NA,56
2012-10-15-D06,85.8,33.0,126.0,15.0,46.0,55.0,58
2012-10-15-E14,86.5,NA,NA,NA,NA,NA,57
2012-10-15-E16,65.2,30.9,126.0,15.1,47.0,56.0,58
2012-10-15-E17,78.8,NA,NA,NA,NA,NA,53
2012-10-15-F06,96.3,NA,NA,NA,NA,NA,53
2012-10-15-FA,81.7,NA,NA,NA,NA,NA,49
2012-10-18-A03,72.7,31.9,137.0,14.6,54.0,64.0,61
2012-10-18-B06,83.7,32.4,126.0,15.0,48.0,57.0,55
2012-10-18-B12,78.0,30.5,129.0,14.7,51.0,64.0,58
2012-10-18-B13,91.2,33.3,128.0,15.5,49.0,61.0,57
2012-10-18-D05,79.2,32.2,109.0,14.7,42.0,51.0,59
2012-10-18-D06,100.9,33.0,133.0,15.0,50.0,61.0,61
2012-10-18-E14,75.7,32.0,135.0,15.7,53.0,61.0,60
2012-10-18-E16,59.5,30.9,136.0,15.1,52.0,67.0,61
2012-10-18-E17,69.8,33.0,96.0,15.1,31.0,40.0,56
2012-10-18-F06,84.2,31.5,108.0,14.8,42.0,50.0,56
2012-10-18-FA,77.7,32.9,90.0,15.3,26.0,29.0,52
2012-10-19-A03,69.2,NA,NA,NA,NA,NA,62
2012-10-19-B06,88.0,NA,NA,NA,NA,NA,56
2012-10-19-B12,81.7,NA,NA,NA,NA,NA,59
2012-10-19-B13,93.0,33.3,134.0,15.5,51.0,64.0,58
2012-10-19-D05,86.8,NA,NA,NA,NA,NA,60
2012-10-19-D06,109.9,NA,NA,NA,NA,NA,62
2012-10-19-E14,89.7,32.0,136.0,15.7,55.0,63.0,61
2012-10-19-E16,57.4,NA,NA,NA,NA,NA,62
2012-10-19-E17,76.7,NA,NA,NA,NA,NA,57
2012-10-19-F06,90.9,NA,NA,NA,NA,NA,57
2012-10-19-FA,83.0,32.9,93.0,15.3,24.0,30.0,53
2012-10-20-A03,81.8,NA,NA,NA,NA,NA,63
2012-10-20-B06,96.1,NA,NA,NA,NA,NA,57
2012-10-20-B12,87.7,30.5,140.0,15.0,54.0,69.0,60
2012-10-20-B13,87.5,33.3,137.0,15.5,52.0,67.0,59
2012-10-20-D05,88.7,32.3,118.0,15.0,47.0,55.0,61
2012-10-20-D06,108.0,NA,NA,NA,NA,NA,63
2012-10-20-E14,90.1,NA,NA,NA,NA,NA,62
2012-10-20-E16,69.5,NA,NA,NA,NA,NA,63
2012-10-20-E17,81.7,33.0,103.0,15.3,35.0,48.0,58
2012-10-20-F06,88.3,31.5,118.0,14.8,46.0,56.0,58
2012-10-20-FA,81.3,NA,NA,NA,NA,NA,54
2012-10-21-A03,80.0,32.0,145.0,14.6,57.0,69.0,64
2012-10-21-B06,102.1,32.5,131.0,15.0,52.0,56.0,58
2012-10-21-B12,86.5,30.5,140.0,15.0,55.0,70.0,61
2012-10-21-B13,95.0,NA,NA,NA,NA,NA,60
2012-10-21-D05,83.0,NA,NA,NA,NA,NA,62
2012-10-21-D06,101.5,33.0,145.0,15.0,54.0,70.0,64
2012-10-21-E14,95.1,NA,NA,NA,NA,NA,63
2012-10-21-E16,79.0,30.9,144.0,15.1,54.0,70.0,64
2012-10-21-E17,75.5,NA,NA,NA,NA,NA,59
2012-10-21-F06,99.6,NA,NA,NA,NA,NA,59
2012-10-21-FA,87.0,NA,NA,NA,NA,NA,55
2012-10-22-A03,73.8,NA,NA,NA,NA,NA,65
2012-10-22-B06,99.1,NA,NA,NA,NA,NA,59
2012-10-22-B12,84.8,NA,NA,NA,NA,NA,62
2012-10-22-B13,99.2,33.3,141.0,15.5,55.0,73.0,61
2012-10-22-D05,88.9,NA,NA,NA,NA,NA,63
2012-10-22-D06,106.9,NA,NA,NA,NA,NA,65
